listing_id,id,date,reviewer_id,reviewer_name,comments
3191,4888238,2013-05-31,5737473,Kathleen,Great home away from home Bridgette and Martha were wonderful I would recommend this place for couples  friends or family
3191,9128602,2013-12-09,8170322,Anita,Das Cottage liegt ruhig und sicher.  Wir haben alles gefunden was wir bentigten. Mit dem Auto ist man in gut zehn Minuten in der City oder Waterfront.  Der Empfang durch Brigitte  war sehr nett und sie hatte schon Wein und einige Kleinigkeiten zum Essen besorgt.
3191,9924130,2014-01-20,4039279,Zacki,This cottage was a great base from which to explore the amazing city of Cape Town It's well equipped so I felt right at home. Brigitte was an attentive  organised host and helped make my stay memorable.
3191,16659537,2014-07-31,9729939,Doug,I had a great stay.  All my needs were well exceeded with warm-hearted hospitality.  Would definitely stay here again.
3191,23247470,2014-11-26,9681619,Christopher,Excellent host. She provided everything we could think of during our stay.  The cottage is lovely and clean and very tranquil. I would definitely stay here again.
3191,30757722,2015-04-27,19846063,C.J.M.,We kregen een verwarmend welkom in het huisje stond al koffie en the klaar. Ook was er meer dan voldoende folder materiaal voor uitstapjes. Als we een vraag hadden was er altijd direct antwoord of een mogelijkheid iets te regelen. Ook een prima parking op het priv terrein. Kortweg een prima onderkomen
3191,58513756,2016-01-03,3749815,Peter,Fantastic cottage Fantastic host. Safe neighbourhood  friendly cats  and two fat  sleepy rabbits Thanks so much for your hospitality
3191,60163862,2016-01-19,43688831,John,Lovely little cottage with a very attentive and helpful host The cottage has a very homely feel to it Perfectly situated - close to Century City  CBD and VA Waterfront.
3191,111414511,2016-10-31,19890852,Laurne,Brigitte has been very available and efficient. The cottage was exactly like the description and the pictures  even more than we was expecting. The area is perfect to visit Cape Town.
3191,131836790,2017-02-14,9927643,Colin,This place is pretty and secluded behind a fence  which gives a feeling of privacy. The location is excellent. It felt like being in the country rather than just in the suburbs. It is a generous place.
3191,135071000,2017-03-03,9927643,Colin,This is a first class place. This was my third visit. It's my preferred airbnb in Cape Town
3191,135469850,2017-03-05,9927643,Colin,Nice place  stayed before. easy and very pleasant. It's such a comfy  spacious cottage with a table and chairs outside to sit at and watch the garden grow
3191,136497937,2017-03-11,58006508,Luckmore,We really enjoyed our stay. The place is very cozy. You feel at home.  Brigitte was very receptive. Its a place to be in Mowbray
3191,138124017,2017-03-19,5939989,Renata,The place is amazing home away from home  super quiet and in a great spot Communication with Brigitte was easy and she was adorable
3191,139667023,2017-03-26,23777405,Julia,Sjour agrable dans ce petit appartement tout quip. Brigitte est toujours disponible pour nous aider en cas de besoin. Le petit plus les lapins et les chats qui viennent de temps en temps dire bonjour 
3191,145052068,2017-04-17,64284698,Kashiya,We really enjoyed our stay at Brigitte's place. The cottage is so neat  cosy and peaceful. It is very well located for anyone getting around with public transport and equipped with all the amenities needed for self-catering. Brigitte is friendly and kind and kept us up to date with what was happening on the premises.
3191,147852451,2017-04-29,118839317,Rasmus,Vldigt mysigt gsthus med allt man behvde. Bra bemtande Vldigt pengavrt boende.
3191,149274220,2017-05-03,100141114,Hennie,Brigitte was a wonderful host  very neat little cottage  central so all routes. We did feel very welcome and safe. Well equipped kitchen and one can prepare all meals without any struggle. I can highly recommend the stay for anyone
3191,150036331,2017-05-07,123180146,Siphesihle,Staying with Brigitte was great. She's easy to communicate with and goes out of her way to make sure that your stay is a pleasant  comfortable one. Well worth it
3191,154157035,2017-05-23,31609391,Kelsi,It was a great location for somewhere to sleep since we were gone all day. Loved the rabbits
3191,154770295,2017-05-26,13638369,Saba, Brigitte's place is a wonderful home away from home. We couldn't be happier staying at her cottage. Brigette is a great and friendly host. Attentive to our needs and very welcoming. We can't wait to come back
3191,156790800,2017-06-01,13638369,Saba,Wonderful cozy cottage  surrounded by beautiful and peaceful gardens that we were happy to call home for a week. Brigitte is a gracious host and Martha is as sweet as pie. We were sorry to leave.
3191,166997165,2017-07-05,132309225,Martin,Brigitte is a warm  helpful and intuitive host. The cottage is well furnished  with the kitchen being well stocked enough to even bake in If you're looking for a central location  comfortable  spacious lodgings the bed was glorious and a beautiful garden to be at peace in  Brigitte's cottage will work for you.
3191,173974345,2017-07-24,1670912,Anna,I can't say enough about my wonderful stay at Brigitte's cottage. Brigitte exemplifies hospitality in all ways. The cottage is perfect  well equipped  and situated in her beautiful garden  which is complete with lemons  bougainvillea  lavender  and the two rabbits  who I loved to watch out the side window.
3191,181619871,2017-08-13,131744326,Kagiso,Great place and great value.. I would definitely stay here again.
3191,193963274,2017-09-15,145762643,Thomas,Great place to stay Very quiet  private and close to the train station with great amenities.
